Pack,nCopies,Card,Mana Cost,Adj. Games Played,Adj. Wins,Adj. Losses,Games Played,Wins,Losses,Win Rate,Conservative Rating,Mean,StdDev,Tier,Turns to Win,Turns to Lose
J22 Blink 2,1,"Rambunctious Mutt",{3}{W}{W},689,375,314,689,375,314,0.5442670537010159,48.367761316139074,53.625817829236816,1.7526855043659137,C,24.4,23.547770700636942
J22 Blink 2,1,"Daybreak Charger",{1}{W},346,246,100,346,246,100,0.7109826589595376,51.22820395485009,56.942857125407414,1.9048843901857755,C,24.28048780487805,25.28
J22 Blink 3,1,"Restoration Angel",{3}{W},1180,754,426,1180,754,426,0.6389830508474577,58.88522320879366,64.22489718587786,1.7798913256947335,B,21.661803713527853,21.384976525821596
J22 Blink 3,1,"Inspiring Overseer",{2}{W},1098,709,389,1098,709,389,0.6457194899817851,47.84069177132141,53.07598072643214,1.7450963183702444,C,21.889985895627646,21.67095115681234
J22 Blink 3,1,"Preston, the Vanisher",{3}{W},1089,680,409,1089,680,409,0.6244260789715336,50.176319594540004,55.543155012159175,1.7889451392063893,C,23.294117647058822,22.100244498777506
J22 Blink 3,1,"Faith's Fetters",{3}{W},1074,674,400,1074,674,400,0.62756052141527,58.1107875327786,63.514900213864735,1.801370893695377,B,22.81305637982196,22.925
J22 Blink 3,1,"Distinguished Conjurer",{1}{W},1050,663,387,1050,663,387,0.6314285714285715,50.073401844777926,55.566048865509664,1.8308823402439123,C,22.512820512820515,22.27906976744186
J22 Blink 3,1,"Valorous Steed",{4}{W},978,618,360,978,618,360,0.6319018404907976,58.61081203402793,63.85031842103942,1.7465021290038287,B,22.660194174757283,22.886111111111113
J22 Blink 3,1,"Brightmare",{2}{W},1025,606,419,1025,606,419,0.5912195121951219,41.88934379005003,47.23110625551549,1.7805874884884874,C,22.935643564356436,22.178997613365155
J22 Blink 3,1,"Settle Beyond Reality",{4}{W},967,596,371,967,596,371,0.6163391933815926,55.880246043139735,61.23382418374826,1.7845260468695083,C,22.956375838926174,22.805929919137466
J22 Blink 3,1,"Valor in Akros",{3}{W},839,469,370,839,469,370,0.5589988081048868,29.91891672016265,35.33238500904076,1.804489429626038,D,22.658848614072493,21.264864864864865
J22 Blink 3,1,"Rambunctious Mutt",{3}{W}{W},769,434,335,769,434,335,0.5643693107932379,41.71106674717687,46.89961935034408,1.7295175343890707,C,23.737327188940093,22.823880597014924
J22 Blink 3,1,"Cavalry Drillmaster",{1}{W},522,361,161,522,361,161,0.6915708812260536,44.348871704885276,49.91543150366033,1.855519932925018,C,23.46814404432133,23.347826086956523
J22 Blink 4,1,"Inspiring Overseer",{2}{W},1069,679,390,1069,679,390,0.6351730589335828,39.88310890851995,45.09347044564721,1.7367871790424203,C,22.100147275405007,21.65897435897436
J22 Blink 4,1,"Pierce Strider",{4},1076,655,421,1076,655,421,0.6087360594795539,54.36164887565532,59.65092445732758,1.7630918605574188,C,21.96030534351145,21.541567695961994
J22 Blink 4,1,"Distinguished Conjurer",{1}{W},1086,651,435,1086,651,435,0.5994475138121547,34.94898953813432,40.254631062916815,1.768547174927498,D,22.605222734254994,21.639080459770113
J22 Blink 4,1,"Faith's Fetters",{3}{W},1049,631,418,1049,631,418,0.6015252621544328,50.01337967514186,55.3974937188124,1.794704681223513,C,23.038034865293184,22.60047846889952
J22 Blink 4,1,"Settle Beyond Reality",{4}{W},1024,612,412,1024,612,412,0.59765625,53.21379897598313,58.52730281517705,1.7711679463979728,C,23.46078431372549,22.031553398058254
J22 Blink 4,1,"Seller of Songbirds",{2}{W},1005,606,399,1005,606,399,0.6029850746268657,55.770193973807785,60.96492689239837,1.7315776395301936,C,23.051155115511552,22.0
J22 Blink 4,1,"Brightmare",{2}{W},1011,567,444,1011,567,444,0.5608308605341247,48.95501171738836,54.24891988172968,1.7646360547804394,C,23.56084656084656,22.03153153153153
J22 Blink 4,1,"Wispweaver Angel",{4}{W}{W},843,563,280,843,563,280,0.66785290628707,71.80072829842454,77.01191662484341,1.737062775472956,B,23.46891651865009,22.946428571428573
J22 Blink 4,1,"Panharmonicon",{4},844,409,435,844,409,435,0.48459715639810425,28.463147409034548,33.70790800985645,1.7482535336073024,D,24.21515892420538,21.328735632183907
J22 Blink 4,1,"Rambunctious Mutt",{3}{W}{W},745,397,348,745,397,348,0.5328859060402684,44.37585600486487,49.59960901991035,1.7412510050151595,C,24.58690176322418,23.014367816091955
J22 Blink 4,1,"Cavalry Drillmaster",{1}{W},354,245,109,354,245,109,0.692090395480226,58.25890002764106,63.871073728956624,1.870724567105187,B,23.506122448979593,23.495412844036696
J22 Boneyard 1,1,"Suspicious Shambler",{3}{B},1271,652,619,1271,652,619,0.5129819040125885,39.644486405344125,44.787407083836044,1.71430689283064,C,22.49846625766871,22.001615508885298
J22 Boneyard 1,1,"Moodmark Painter",{2}{B}{B},1125,611,514,1125,611,514,0.5431111111111111,52.67395999032926,57.74130190449191,1.689113971387552,C,21.69885433715221,21.317120622568094
J22 Boneyard 1,1,"Gorging Vulture",{2}{B},1072,588,484,1072,588,484,0.5485074626865671,46.0840644173712,51.25695738915545,1.7242976572614162,C,21.083333333333332,22.024793388429753
J22 Boneyard 1,1,"Stitcher's Supplier",{B},1074,570,504,1074,570,504,0.5307262569832403,30.35189574979999,35.69258798529265,1.780230745164219,D,21.524561403508773,21.15277777777778
J22 Boneyard 1,1,"Wailing Ghoul",{1}{B},1076,553,523,1076,553,523,0.5139405204460966,32.208710217585974,37.333173303096984,1.708154361837002,D,22.21157323688969,21.2848948374761
J22 Boneyard 1,1,"Spark Reaper",{2}{B},1115,550,565,1115,550,565,0.49327354260089684,37.53120844300805,42.64181306375892,1.7035348735836238,C,22.405454545454546,21.191150442477877
J22 Boneyard 1,1,"Necrotic Wound",{B},1031,533,498,1031,533,498,0.5169738118331717,41.85281426368683,46.99393107826464,1.7137056048592687,C,22.328330206378986,21.367469879518072
J22 Boneyard 1,1,"Pit Keeper",{1}{B},1056,515,541,1056,515,541,0.4876893939393939,35.258831518330936,40.4002244631901,1.7137976482863868,D,21.83883495145631,20.702402957486136
J22 Boneyard 1,1,"Oversold Cemetery",{1}{B},1031,467,564,1031,467,564,0.45295829291949563,28.142546804716915,33.33298345253083,1.7301455492713054,D,23.044967880085654,20.617021276595743
J22 Boneyard 1,1,"Revenant",{4}{B},771,457,314,771,457,314,0.5927367055771725,60.267323261366826,65.3384758485986,1.6903841957439252,B,23.809628008752735,23.898089171974522
J22 Boneyard 1,1,"Corpse Churn",{1}{B},862,453,409,862,453,409,0.525522041763341,28.01139071148654,33.17220277379315,1.7202706874355376,D,22.112582781456954,20.855745721271393
J22 Boneyard 1,1,"Ossuary Rats",{5}{B},631,337,294,631,337,294,0.5340729001584786,47.84839916306537,53.06091833754088,1.7375063914918358,C,24.997032640949556,24.44557823129252
J22 Boneyard 2,1,"Suspicious Shambler",{3}{B},1246,744,502,1246,744,502,0.5971107544141252,47.67032450724257,52.71048778668219,1.680054426479873,C,20.974462365591396,21.906374501992033
J22 Boneyard 2,1,"Shadowborn Demon",{3}{B}{B},1022,699,323,1022,699,323,0.6839530332681018,73.73799471829031,78.88797044217878,1.716658574629489,B,20.40629470672389,22.94736842105263
J22 Boneyard 2,1,"Graveblade Marauder",{2}{B},1119,672,447,1119,672,447,0.6005361930294906,45.11696957052014,50.17470160440398,1.685910677961279,C,19.769345238095237,21.08053691275168
J22 Boneyard 2,1,"Gorging Vulture",{2}{B},1070,667,403,1070,667,403,0.6233644859813084,48.863095692467944,53.92552791236615,1.687477406632736,C,19.748125937031485,21.612903225806452
J22 Boneyard 2,1,"Stitcher's Supplier",{B},1014,626,388,1014,626,388,0.6173570019723866,36.48954612368154,41.64798340763649,1.719479094651649,D,19.9073482428115,21.353092783505154
J22 Boneyard 2,1,"Moodmark Painter",{2}{B}{B},1031,623,408,1031,623,408,0.6042677012609118,43.41720760245241,48.442168873846754,1.674987090464783,C,20.62760834670947,21.79901960784314
J22 Boneyard 2,1,"Necrotic Wound",{B},1080,620,460,1080,620,460,0.5740740740740741,38.18320448016566,43.33887293639272,1.7185561520756865,C,20.879032258064516,21.706521739130434
J22 Boneyard 2,1,"Wailing Ghoul",{1}{B},1051,599,452,1051,599,452,0.5699333967649858,35.166455975694454,40.27222887001143,1.7019242981056588,D,20.2220367278798,21.172566371681416
J22 Boneyard 2,1,"Ghoul's Feast",{1}{B},832,586,246,832,586,246,0.7043269230769231,53.04453045034831,58.30181492673501,1.752428158795568,C,20.401023890784984,22.95528455284553
J22 Boneyard 2,1,"Corpse Churn",{1}{B},882,518,364,882,518,364,0.5873015873015873,20.873480667601278,25.953282603439686,1.6932673119461363,D,20.474903474903474,21.315934065934066
J22 Boneyard 2,1,"Liliana's Elite",{2}{B},906,514,392,906,514,392,0.5673289183222958,44.259085555710975,49.35305351408687,1.6979893194586297,C,20.875486381322958,22.096938775510203
J22 Boneyard 2,1,"Ossuary Rats",{5}{B},628,338,290,628,338,290,0.5382165605095541,47.949673068240266,53.12493649671476,1.725087809491498,C,22.7396449704142,24.21034482758621
J22 Cats 1,1,"Regal Caracal",{3}{W}{W},965,729,236,965,729,236,0.755440414507772,87.05001411790948,92.64094957542741,1.863645152505977,A,20.396433470507546,25.35169491525424
J22 Cats 1,1,"King of the Pride",{2}{W},1122,701,421,1122,701,421,0.624777183600713,55.296434602083565,60.51025718965012,1.737940862522185,C,20.03281027104137,21.72684085510689
J22 Cats 1,1,"Leonin Snarecaster",{1}{W},1163,652,511,1163,652,511,0.5606190885640585,34.79005209760351,40.03652662608346,1.748824842826649,D,20.079754601226995,21.696673189823876
J22 Cats 1,1,"Savannah Lions",{W},1099,648,451,1099,648,451,0.5896269335759782,40.23717868012159,45.4151836819666,1.726001667281671,C,20.015432098765434,22.246119733924612
J22 Cats 1,1,"Felidar Cub",{1}{W},1039,606,433,1039,606,433,0.5832531280076997,40.61216853124213,45.97579130895834,1.787874259238735,C,20.445544554455445,22.249422632794456
J22 Cats 1,1,"Ingenious Leonin",{4}{W},980,598,382,980,598,382,0.610204081632653,55.5723729787114,60.803565668948956,1.7437308967458522,C,21.483277591973245,22.94240837696335
J22 Cats 1,1,"Skyhunter Patrol",{2}{W}{W},1009,595,414,1009,595,414,0.5896927651139743,49.254589091835484,54.49596894367645,1.7471266172803237,C,20.789915966386555,22.13768115942029
J22 Cats 1,1,"Basri's Acolyte",{2}{W}{W},960,593,367,960,593,367,0.6177083333333333,46.45691035501512,51.83108656317365,1.7913920693861778,C,21.18549747048904,23.302452316076295
J22 Cats 1,1,"Leonin Scimitar",{1},1063,587,476,1063,587,476,0.5522107243650047,30.27573241636673,35.45293116770005,1.7257329171111075,D,20.76831345826235,21.41176470588235
J22 Cats 1,1,"Make a Stand",{2}{W},990,565,425,990,565,425,0.5707070707070707,35.291016447153034,40.54158609601449,1.7501898829538194,D,20.64070796460177,22.089411764705883
J22 Cats 1,1,"Weight of Conscience",{1}{W},1063,536,527,1063,536,527,0.504233301975541,22.00776111991469,27.231721704336948,1.7413201948074188,D,22.117537313432837,22.445920303605313
J22 Cats 1,1,"Impeccable Timing",{1}{W},781,360,421,781,360,421,0.46094750320102434,30.511671489158367,35.702899639670775,1.7304093835041359,D,22.59722222222222,22.767220902612827
J22 Cats 2,1,"King of the Pride",{2}{W},1114,600,514,1114,600,514,0.5385996409335727,53.94001402396248,58.90142318002699,1.6538030520215012,C,20.43,21.122568093385215
J22 Cats 2,1,"Leonin Snarecaster",{1}{W},1115,580,535,1115,580,535,0.5201793721973094,45.60264429065505,50.61383144145403,1.670395716932995,C,20.582758620689656,21.59252336448598
J22 Cats 2,1,"Savannah Lions",{W},1066,542,524,1066,542,524,0.5084427767354597,38.30648373632672,43.32495565830912,1.6728239739941353,C,20.505535055350553,21.64503816793893
J22 Cats 2,1,"Mesa Lynx",{1}{W},1032,523,509,1032,523,509,0.5067829457364341,44.69796833600146,49.656894567249836,1.652975410416126,C,21.30019120458891,21.69744597249509
J22 Cats 2,1,"Trove Warden",{2}{W}{W},1034,511,523,1034,511,523,0.4941972920696325,47.58340875122144,52.670779291971215,1.6957901802499236,C,21.958904109589042,21.831739961759084
J22 Cats 2,1,"Prowling Felidar",{3}{W},1006,505,501,1006,505,501,0.5019880715705766,45.65706386254038,50.5723927893506,1.6384429756034067,C,22.07128712871287,21.87425149700599
J22 Cats 2,1,"Steppe Lynx",{W},1040,498,542,1040,498,542,0.47884615384615387,33.71581589332344,38.75399157962177,1.6793918954327778,D,20.393574297188756,21.092250922509226
J22 Cats 2,1,"Weight of Conscience",{1}{W},1025,466,559,1025,466,559,0.45463414634146343,19.26015111764466,24.350298222228712,1.696715701528017,D,22.607296137339056,21.94991055456172
J22 Cats 2,1,"Make a Stand",{2}{W},957,466,491,957,466,491,0.48693834900731453,36.31321835675208,41.310173129139066,1.665651590795662,D,21.087982832618025,21.35437881873727
J22 Cats 2,1,"Ingenious Leonin",{4}{W},936,462,474,936,462,474,0.4935897435897436,51.89639436239226,56.811440127539996,1.63834858838258,C,22.61038961038961,21.932489451476794
J22 Cats 2,1,"Felidar Retreat",{3}{W},824,415,409,824,415,409,0.5036407766990292,50.48868331629024,55.27715712551513,1.5961579364082965,C,22.910843373493975,21.415647921760392
J22 Cats 2,1,"Impeccable Timing",{1}{W},719,271,448,719,271,448,0.3769123783031989,32.53278550127235,37.53997931003333,1.6690646029203273,D,23.472324723247233,22.564732142857142
J22 Cats 3,1,"King of the Pride",{2}{W},1156,664,492,1156,664,492,0.5743944636678201,51.346976273866,56.596402084054255,1.749808603396086,C,20.996987951807228,21.867886178861788
J22 Cats 3,1,"Leonin Snarecaster",{1}{W},1137,610,527,1137,610,527,0.5364995602462621,43.099966755625026,48.24555694568325,1.7151967300194075,C,20.618032786885244,22.16888045540797
J22 Cats 3,1,"Ajani's Pridemate",{1}{W},1056,570,486,1056,570,486,0.5397727272727273,37.60250654693493,42.82600370022324,1.74116571776277,C,21.42280701754386,22.343621399176953
J22 Cats 3,1,"Savannah Sage",{1}{W},1042,565,477,1042,565,477,0.5422264875239923,47.91543717616575,53.17288649590237,1.752483106578872,C,21.0070796460177,22.90775681341719
J22 Cats 3,1,"Trained Caracal",{W},1023,551,472,1023,551,472,0.5386119257086999,41.40799437143043,46.67684658977397,1.7562840727811797,C,21.21234119782214,22.4385593220339
J22 Cats 3,1,"Basri's Acolyte",{2}{W}{W},984,546,438,984,546,438,0.5548780487804879,54.307449666666464,59.622556060333345,1.7717021312222945,C,22.186813186813186,23.246575342465754
J22 Cats 3,1,"Leonin Scimitar",{1},1123,544,579,1123,544,579,0.4844167408726625,31.527933440339854,36.69067730912393,1.720914622928024,D,21.762867647058822,21.360967184801382
J22 Cats 3,1,"Make a Stand",{2}{W},939,511,428,939,511,428,0.54419595314164,30.192286447962022,35.31206320477944,1.706592252272473,D,21.864970645792564,22.88785046728972
J22 Cats 3,1,"Weight of Conscience",{1}{W},1051,510,541,1051,510,541,0.48525214081826834,29.23764770226846,34.517958492675106,1.7601035968022145,D,23.211764705882352,22.831792975970426
J22 Cats 3,1,"Ingenious Leonin",{4}{W},952,497,455,952,497,455,0.5220588235294118,49.75874051946396,54.95363620398723,1.7316318948410891,C,22.722334004024145,22.83956043956044
J22 Cats 3,1,"Ajani, Strength of the Pride",{2}{W}{W},858,461,397,858,461,397,0.5372960372960373,53.66138181832362,58.892193642636016,1.7436039414374653,C,22.954446854663775,23.692695214105793
J22 Cats 3,1,"Impeccable Timing",{1}{W},745,328,417,745,328,417,0.44026845637583895,38.78541072955383,43.9119055535718,1.7088316080059882,C,23.701219512195124,23.52757793764988
J22 Cats 4,1,"King of the Pride",{2}{W},1081,650,431,1081,650,431,0.6012950971322849,49.12562281700028,54.46856781486569,1.7809816659551394,C,18.896923076923077,21.700696055684453
J22 Cats 4,1,"Leonin Warleader",{2}{W}{W},963,597,366,963,597,366,0.6199376947040498,64.73062445707994,69.72570743959687,1.66502766083898,B,19.165829145728644,21.983606557377048
J22 Cats 4,1,"Leonin Scimitar",{1},1052,555,497,1052,555,497,0.5275665399239544,36.970237949214116,42.07006590470287,1.699942651829585,D,20.11891891891892,21.432595573440643
J22 Cats 4,1,"Savannah Lions",{W},999,552,447,999,552,447,0.5525525525525525,31.771371438879264,36.96383267984326,1.7308204136546643,D,18.83514492753623,22.03131991051454
J22 Cats 4,1,"Skyhunter Prowler",{2}{W},976,550,426,976,550,426,0.5635245901639344,46.19243314813798,51.40898845373601,1.7388517685326748,C,20.645454545454545,22.260563380281692
J22 Cats 4,1,"Leonin Snarecaster",{1}{W},1043,535,508,1043,535,508,0.5129434324065196,30.476620980608516,35.539709641270484,1.6876962202206567,D,19.510280373831776,21.5748031496063
J22 Cats 4,1,"Make a Stand",{2}{W},989,533,456,989,533,456,0.538928210313448,37.545711692906295,42.60524311019685,1.686510472430186,C,20.0187617260788,22.035087719298247
J22 Cats 4,1,"Pouncing Lynx",{1}{W},1006,529,477,1006,529,477,0.525844930417495,37.270064731004126,42.3708099764263,1.7002484151407256,D,19.650283553875237,21.52620545073375
J22 Cats 4,1,"Basri's Acolyte",{2}{W}{W},882,508,374,882,508,374,0.5759637188208617,54.24507485453345,59.40768055297698,1.7208685661478422,C,20.909448818897637,22.788770053475936
J22 Cats 4,1,"Weight of Conscience",{1}{W},1004,489,515,1004,489,515,0.48705179282868527,32.86384277458974,38.0700884304997,1.735415218636654,D,21.380368098159508,22.54368932038835
J22 Cats 4,1,"Ingenious Leonin",{4}{W},908,481,427,908,481,427,0.5297356828193832,49.93618742278301,55.06381949775314,1.7092106916567094,C,21.23076923076923,22.81030444964871
J22 Cats 4,1,"Impeccable Timing",{1}{W},738,341,397,738,341,397,0.462059620596206,35.20303729205037,40.21290600758881,1.6699562385128148,D,21.718475073313783,22.3727959697733
J22 Constellation 1,1,"Archon of Sun's Grace",{2}{W}{W},1113,873,240,1113,873,240,0.784366576819407,91.54575789093764,96.81237252975771,1.7555382129400234,A,19.116838487972508,22.029166666666665
J22 Constellation 1,1,"Chains of Custody",{2}{W},1117,754,363,1117,754,363,0.675022381378693,43.48673587604707,48.73988679869941,1.7510503075507786,C,19.66976127320955,21.454545454545453
J22 Constellation 1,1,"Spectral Steel",{1}{W},1079,731,348,1079,731,348,0.6774791473586654,37.52147207143525,42.827282112497,1.7686033470205842,C,18.9890560875513,21.224137931034484
J22 Constellation 1,1,"Transcendent Envoy",{1}{W},1100,712,388,1100,712,388,0.6472727272727272,30.05779948017298,35.29671700835821,1.7463058427284082,D,19.337078651685392,21.417525773195877
J22 Constellation 1,1,"Spirited Companion",{1}{W},1026,690,336,1026,690,336,0.672514619883041,31.697166755946824,36.93482190367254,1.7458850492419054,D,19.240579710144928,21.363095238095237
J22 Constellation 1,1,"Blessed Spirits",{2}{W},1054,686,368,1054,686,368,0.650853889943074,52.63831111287675,57.89896524066291,1.7535513759287191,C,19.307580174927114,20.918478260869566
J22 Constellation 1,1,"Forced Worship",{1}{W},1062,664,398,1062,664,398,0.6252354048964218,27.994860191703744,33.32400127206499,1.776380360120415,D,20.265060240963855,21.819095477386934
J22 Constellation 1,1,"Glory Bearers",{3}{W},1002,643,359,1002,643,359,0.6417165668662674,54.38959984204848,59.72975124382931,1.780050467260276,C,19.936236391912907,21.49025069637883
J22 Constellation 1,1,"Pious Wayfarer",{W},1008,632,376,1008,632,376,0.626984126984127,37.21748404447603,42.56054017436634,1.7810187099634365,D,19.6123417721519,21.26595744680851
J22 Constellation 1,1,"Favored of Iroas",{2}{W},893,540,353,893,540,353,0.6047032474804032,37.98818998884133,43.29812467136097,1.76997822750655,C,20.392592592592592,21.937677053824363
J22 Constellation 1,1,"Sage's Reverie",{3}{W},723,537,186,723,537,186,0.7427385892116183,36.71503347678562,42.10322876475156,1.7960650959886468,D,19.988826815642458,22.376344086021504
J22 Constellation 1,1,"Captivating Unicorn",{4}{W},882,533,349,882,533,349,0.6043083900226758,43.73228688974808,49.0558312947917,1.7745148016812062,C,20.923076923076923,21.361031518624642
J22 Constellation 2,1,"Spectral Steel",{1}{W},1090,739,351,1090,739,351,0.6779816513761467,41.94726954352123,47.10785454129188,1.7201949992568815,C,19.23274695534506,20.82051282051282
J22 Constellation 2,1,"Chains of Custody",{2}{W},1090,727,363,1090,727,363,0.6669724770642201,43.95298830544204,49.233968656738355,1.7603267837654382,C,19.988995873452545,21.151515151515152
J22 Constellation 2,1,"Spirited Companion",{1}{W},1052,670,382,1052,670,382,0.6368821292775665,33.16727501782689,38.474692683094304,1.7691392217558048,D,19.792537313432835,21.280104712041886
J22 Constellation 2,1,"Transcendent Envoy",{1}{W},1049,669,380,1049,669,380,0.6377502383222117,49.930814895074214,55.25390685883681,1.7743639879208644,C,19.674140508221225,20.792105263157893
J22 Constellation 2,1,"Dreadful Apathy",{2}{W},1086,667,419,1086,667,419,0.6141804788213628,41.671599576214724,46.92113078024945,1.7498437346782405,C,20.143928035982007,20.62291169451074
J22 Constellation 2,1,"Blessed Spirits",{2}{W},1049,660,389,1049,660,389,0.6291706387035272,55.98886222307225,61.275786846510016,1.7623082078125876,C,19.05757575757576,20.131105398457585
J22 Constellation 2,1,"Glory Bearers",{3}{W},1030,643,387,1030,643,387,0.6242718446601941,47.52318493741489,52.68032735253034,1.7190474717051507,C,19.990668740279936,21.09560723514212
J22 Constellation 2,1,"Alseid of Life's Bounty",{W},1024,632,392,1024,632,392,0.6171875,40.056585297214085,45.263439711201436,1.7356181379957842,C,19.699367088607595,21.543367346938776
J22 Constellation 2,1,"Sage's Reverie",{3}{W},724,550,174,724,550,174,0.7596685082872928,38.18186060747454,43.543061560214426,1.7870669842466291,C,19.783636363636365,21.367816091954023
J22 Constellation 2,1,"Auramancer",{2}{W},907,542,365,907,542,365,0.597574421168688,40.409046848444866,45.820710337234104,1.8038878295964125,C,20.826568265682656,21.115068493150684
J22 Constellation 2,1,"Sigil of the Empty Throne",{3}{W}{W},859,533,326,859,533,326,0.6204889406286379,58.18787397945203,63.17318176724889,1.6617692625989544,B,20.49718574108818,20.426380368098158
J22 Constellation 2,1,"Captivating Unicorn",{4}{W},873,525,348,873,525,348,0.6013745704467354,42.5918517505847,47.82502238200155,1.7443902104722822,C,20.607619047619046,21.350574712643677
J22 Cruel 1,1,"Creeping Bloodsucker",{1}{B},1064,633,431,1064,633,431,0.5949248120300752,53.292548839991326,58.24508803732139,1.6508463991100197,C,19.232227488151658,19.82134570765661
J22 Cruel 1,1,"Ob Nixilis's Cruelty",{2}{B},1113,585,528,1113,585,528,0.5256064690026954,48.25297628068487,53.32538672742745,1.6908034822475262,C,20.36068376068376,20.526515151515152
J22 Cruel 1,1,"Syr Konrad, the Grim",{3}{B}{B},939,572,367,939,572,367,0.6091586794462194,63.27605396070673,68.24253360321507,1.655493214169444,B,19.554195804195803,20.713896457765667
J22 Cruel 1,1,"Tormented Soul",{B},1009,559,450,1009,559,450,0.554013875123885,46.676658978966266,51.687432560925785,1.6702578606531737,C,19.135957066189626,19.204444444444444
J22 Cruel 1,1,"Alley Strangler",{2}{B},1053,552,501,1053,552,501,0.5242165242165242,46.73809501440463,51.67773630793158,1.6465470978423187,C,19.807971014492754,19.522954091816366
J22 Cruel 1,1,"Wicked Guardian",{3}{B},965,498,467,965,498,467,0.5160621761658031,27.383310382850652,32.43607397970315,1.6842545322841662,D,20.367469879518072,20.35117773019272
J22 Cruel 1,1,"Termination Facilitator",{1}{B},995,493,502,995,493,502,0.49547738693467336,33.2449077324921,38.29258442740002,1.6825588983026403,D,19.92494929006085,19.593625498007967
J22 Cruel 1,1,"Ob Nixilis, the Hate-Twisted",{3}{B}{B},790,477,313,790,477,313,0.6037974683544304,96.5123986256284,101.5975791265553,1.6950601669756309,S,19.67295597484277,21.875399361022364
J22 Cruel 1,1,"Feast on the Fallen",{2}{B},896,428,468,896,428,468,0.47767857142857145,30.3870523692083,35.35327326849071,1.65540696642747,D,20.011682242990656,19.583333333333332
