J25 Surprise 4,J25 Healers 4,J25 Heroes 2,JMP Witchcraft 2,PT3.4431286S,17
J22 Inventive 4,J25 Surprise 2,JMP Spellcasting 3,J25 Treasures 2,PT14.3224938S,23
J22 Cycling 2,J22 Boneyard 2,JMP Feathered Friends 3,J25 Of the Coast 2,PT4.0040294S,18
J25 Encounter 4,JMP Spirits 2,J25 Soaring 1,JMP Smashing 2,PT4.1055439S,17
JMP Doctor 3,J25 Treasures 2,J22 Cats 2,J22 Scrying 1,PT4.3271595S,19
J22 Ferocious 4,J25 Zealots 1,JMP Wizards 1,J22 Raid 2,PT3.9210855S,19
J25 Soaring 3,JMP Feathered Friends 3,J25 Dinner,J22 Insects 4,PT3.258303S,15
J25 Clerics 2,JMP Phyrexian,J25 Goblins 3,J22 Experimental 2,PT4.5910579S,14
J22 Holy 2,JMP Feathered Friends 4,J25 Zealots 3,JMP Predatory 1,PT4.8684289S,20
J25 Zealots 2,J22 Cruel 4,J25 Clerics 2,J22 Law 2,PT4.3782588S,18
JMP Spooky 3,J22 Law 3,JMP Spellcasting 1,JMP Minions 2,PT18.0641034S,22
JMP Enchanted 1,J22 Landfall 2,JMP Spooky 3,JMP Feathered Friends 3,PT10.9207744S,27
J25 Warriors 1,J25 Drowned 1,JMP Well-Read 2,J22 Treasure 4,PT2.3646707S,12
JMP Well-Read 3,J25 Wizards 1,JMP Plus One 2,J25 Soaring 1,PT59.215524S,29
JMP Goblins 2,JMP Witchcraft 1,JMP Plus One 3,J25 Soaring 3,PT6.7488457S,23
JMP Vampires 3,JMP Minions 4,JMP Lightning 2,J25 Soaring 1,PT5.2743158S,23
J22 Boneyard 2,J25 Legion 2,JMP Vampires 2,JMP Wizards 1,PT15.9737869S,30
J25 Grave Robbers 2,J22 Shapeshifters,J22 Goblins 3,J22 Wolves 2,PT4.129834S,15
J25 Surprise 1,J22 Merfolk 2,JMP Dinosaurs 1,J22 Raid 2,PT4.3491619S,16
J22 Fangs 3,J22 Faeries 2,J22 Law 4,JMP Predatory 1,PT2.4297305S,15
JMP Doctor 4,J22 Treasure 1,J22 Insects 3,JMP Under the Sea 2,PT6.1321809S,23
J22 Insects 4,JMP Dinosaurs 4,J25 Zealots 4,JMP Reanimated 1,PT1M51.0123622S,27
J22 Spirits 2,J25 Legion 2,J22 Scrying 1,J22 Scrying 2,PT5.322923S,20
JMP Smashing 2,JMP Teferi,J25 Elves 4,J22 Cruel 3,PT8.089369S,22
JMP Legion 3,JMP Predatory 1,J25 Stoked 3,J25 Of the Coast 2,PT5.8688629S,21
J25 Bookworms 2,J22 Boneyard 1,J22 Dragons 2,J22 Shapeshifters,PT16.3092236S,23
J25 Ne'er-do-wells 1,JMP Feathered Friends 3,J25 Grave Robbers 4,J22 Cats 4,PT4.4328805S,15
J22 Elves 4,J22 Cruel 1,JMP Lands 1,JMP Witchcraft 1,PT5.6054175S,15
JMP Legion 3,JMP Elves 2,JMP Elves 1,JMP Witchcraft 2,PT13.3269343S,20
J22 Demons 2,J22 Landfall 1,J25 Encounter 1,JMP Smashing 3,PT4.1861353S,18
JMP Angels 2,J25 Of the Coast 1,J22 Holy 1,JMP Goblins 2,PT6.9303216S,17
J25 Surprise 1,JMP Predatory 1,JMP Predatory 1,J25 Legion 1,PT23.5624598S,25
JMP Pirates 1,JMP Enchanted 1,JMP Legion 1,J25 Soaring 3,PT12.1129519S,24
J22 Inventive 2,J22 Elves 3,J25 Giddyap,J22 Fangs 1,PT15.3191467S,29
J25 Bloody 4,J25 Dinosaurs 2,JMP Spirits 1,J25 Zealots 3,PT2.228033S,15
J25 Inventive 4,J25 Clerics 2,JMP Minions 1,J25 Armed 2,PT6.3008541S,18
JMP Spellcasting 1,JMP Tree Hugging 4,J22 Fiery 4,J25 Armed 3,PT2.3633065S,18
J25 Angels 2,J22 Fangs 3,J22 Ferocious 4,J25 Enchanted 2,PT11.2486532S,25
JMP Walls,J25 Enchanted 4,J25 Of the Coast 1,J22 Fiery 4,PT28.0675395S,17
J22 Elves 1,J22 Cruel 4,JMP Spooky 2,J25 Inventive 3,PT4.6933937S,22
JMP Rogues 2,JMP Smashing 1,J22 Experimental 1,J25 Angels 1,PT1.4290729S,11
JMP Legion 4,J25 Enchanted 1,J22 Wolves 1,JMP Predatory 4,PT5.6126443S,21
JMP Witchcraft 2,J25 Encounter 2,JMP Witchcraft 1,J25 Zealots 4,PT10.6842346S,17
J25 Zealots 2,J22 Blink 3,J22 Blink 1,JMP Basri,PT29.9440233S,21
JMP Tree Hugging 3,J22 Gross 2,J25 Elves 3,J22 Elves 1,PT11.7098091S,23
J25 Heroes 1,J22 Detective 1,JMP Doctor 2,JMP Above the Clouds 2,PT1M13.964206S,29
J22 Fiery 3,JMP Archaeology 1,JMP Predatory 3,JMP Milling,PT7.1567258S,26
J22 Fiery 1,JMP Discarding 2,J25 Soaring 1,J22 Eldrazi,PT3.2673472S,18
J22 Raid 3,J25 Healers 3,J22 Constellation 2,J25 Fun Guys 1,PT8.0268872S,23
J22 Blink 4,J22 Landfall 1,J25 Bloody 2,JMP Rainbow,PT14.1821817S,24
J25 Fun Guys 1,JMP Doctor 2,JMP Devilish 2,JMP Elves 2,PT52.3943871S,35
J22 Knights,JMP Basri,JMP Predatory 1,J22 Ferocious 4,PT4.3649664S,21
JMP Feathered Friends 1,J22 Boneyard 1,J22 Blink 4,J25 Icky 1,PT2.9706721S,18
JMP Plus One 1,J25 Soaring 1,JMP Archaeology 4,J25 Heroes 2,PT5.7927895S,21
J22 Landfall 1,J25 Bookworms 2,JMP Well-Read 3,J25 Surprise 1,PT3.8755144S,17
J25 Bloody 4,J25 Copied 1,JMP Legion 2,J25 Soaring 2,PT1.7873909S,12
J22 Raid 2,J25 Dragons 1,J25 Stalwart 1,J22 Landfall 1,PT2.1911991S,15
JMP Reanimated 2,J25 Beasts 2,J22 Gigantic 1,J25 Icky 1,PT12.1479582S,24
JMP Feathered Friends 3,J22 Gigantic 2,J22 Knights,J22 Spirits 2,PT6.2886629S,24
J25 Ghastly 4,J22 Elves 4,J25 Heroes 2,JMP Smashing 1,PT19.1483059S,26
J25 Drowned 2,J25 Encounter 3,JMP Archaeology 2,J22 Demons 1,PT1.4758337S,12
J22 Elves 2,JMP Well-Read 1,J25 Bookworms 3,J22 Raid 3,PT6.9009009S,16
JMP Heavily Armored 4,JMP Smashing 4,J22 Law 3,J25 Armed 3,PT7.6190534S,18
J25 Armed 3,J25 Treasures 2,JMP Phyrexian,J22 Cruel 4,PT3.072528S,17
JMP Plus One 4,J25 Beasts 1,J22 Blink 2,J25 Soaring 1,PT2.3945476S,14
JMP Vampires 3,JMP Discarding 2,J22 Dragons 1,J22 Cruel 2,PT2.826027S,17
JMP Walls,JMP Spirits 2,J22 Cycling 2,J25 Vampires 4,PT4.770336S,20
J22 Fangs 1,J25 Inventive 4,JMP Well-Read 2,J22 Treasure 3,PT13.6549372S,25
JMP Dinosaurs 2,JMP Plus One 2,J25 Stoked 3,J25 Dragons 2,PT7.3547239S,23
JMP Dragons 1,JMP Angels 1,J22 Dragons 1,JMP Predatory 1,PT6.8520642S,19
JMP Goblins 3,J25 Vampires 4,J25 Fun Guys 1,J25 Icky 1,PT4.6657809S,17
J25 Explorers 2,J25 Encounter 2,J25 Clerics 3,J25 Too Many,PT6.6414119S,17
J22 Spirits 1,J22 Merfolk 2,J25 Explorers 2,J25 Dragons 1,PT5.1839067S,15
